strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
Popped cherry,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,"Vodka,Cherry liqueur,Cranberry,Orange,,,,,,,,,,,","2 oz Vodka,2 oz Cherry liqueur,4 oz Cranberry juice,4 oz Orange juice, , , , , , , , ",Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,Highball glass,Alcoholic
Poppy Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg,"Gin,Creme de Cacao,,,,,,,,,,,,,","1 1/2 oz Gin,3/4 oz white Creme de Cacao, , , , , , , , , , ","Shake ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Port And Starboard,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,"Grenadine,Green Creme de Menthe,,,,,,,,,,,,,","1 tblsp Grenadine,1/2 oz Green Creme de Menthe, , , , , , , , , , ","Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",Pousse cafe glass,Alcoholic
Port Wine Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,"Port,Brandy,,,,,,,,,,,,,","2 1/2 oz Port,1/2 tsp Brandy, , , , , , , , , , ","Stir ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Port Wine Flip,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,"Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,","1 1/2 oz Port,2 tsp Light cream,1 tsp Powdered sugar,1 whole Egg,
 Nutmeg,
 ,
 ,
 ,
 ,
 , , ",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Whiskey sour glass,Alcoholic
Porto flip,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,"Brandy,Port,Egg,,,,,,,,,,,,","3 parts Brandy,9 parts Port,2 parts Egg Yolk, , , , , , , , , ","Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",Cocktail glass,Alcoholic
Pysch Vitamin Light,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,"Orange,Apple,Pineapple,Ice,,,,,,,,,,,","1 part Orange juice,1 part Apple juice,1 part Pineapple juice,
 Ice,
 ,
 ,
 ,
 ,
 , , , ",Shake with ice.,Collins Glass,Non alcoholic
Quaker's Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,"Light rum,Brandy,Lemon,Raspberry syrup,,,,,,,,,,,","3/4 oz Light rum,3/4 oz Brandy,Juice of 1/4 Lemon,2 tsp Raspberry syrup, , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Quarter Deck Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,"Light rum,Sherry,Lime,,,,,,,,,,,,","1 1/2 Light rum,1/3 oz cream Sherry,Juice of 1/2 Lime, , , , , , , , , ","Stir all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Queen Bee,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,"Coffee brandy,Lime vodka,Sherry,,,,,,,,,,,,","1 oz Coffee brandy,1 1/2 oz Lime vodka,1/2 oz cream Sherry, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
