strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
Blackthorn,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,"Sweet Vermouth,Sloe gin,Lemon,,,,,,,,,,,,","1 oz Sweet Vermouth,1 1/2 oz Sloe gin,1 twist of Lemon peel, , , , , , , , , ",Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Cocktail glass,Alcoholic
Bleeding Surgeon,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,"Dark rum,Orange,Surge,Cranberry,,,,,,,,,,,","1 shot Dark rum,1 slice Orange,1/2 glass Surge,1/2 glass Cranberry juice, , , , , , , , ","Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",Collins glass,Alcoholic
Blind Russian,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,"Bailey's irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,,,,,,,,,,","3/4 oz Bailey's irish cream,3/4 oz Godiva liqueur,3/4 oz Kahlua,1/2 oz Butterscotch schnapps, to fill
 Milk,
 ,
 ,
 ,
 ,
 , , ",Fill glass with ice. Add all liquers. Add milk. shake.,Collins glass,Alcoholic
Bloody Maria,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,"Tequila,Tomato,Lemon,Tabasco sauce,Celery salt,Lemon,,,,,,,,,","1 oz Tequila,2 oz Tomato juice,1 dash Lemon juice,1 dash Tabasco sauce,1 dash Celery salt,1 slice Lemon, , , , , , ",Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,Old-fashioned glass,Alcoholic
Bloody Mary,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,"Vodka,Tomato,Lemon,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,","1 1/2 oz Vodka,3 oz Tomato juice,1 dash Lemon juice,1/2 tsp Worcestershire sauce,2-3 drops Tabasco sauce,1 wedge Lime, , , , , , ","Stirring gently, pour all ingredients into highball glass. Garnish.",Old-fashioned glass,Alcoholic
Blue Lagoon,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,"Vodka,Blue Curacao,Lemon,Cherry,,,,,,,,,,,","1 oz Vodka,1 oz Blue Curacao,
 Lemon juice,
 Cherry,
 ,
 ,
 ,
 ,
 , , , ","Pour vodka and curacao over ice in a highball glass. Fill with lemon juice, top with the cherry, and serve.",Highball glass,Alcoholic
Blue Margarita,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,"Tequila,Blue Curacao,Lime,Salt,,,,,,,,,,,","1 1/2 oz Tequila,1 oz Blue Curacao,1 oz Lime juice,Coarse Salt, , , , , , , , ","Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",Cocktail glass,Alcoholic
Blue Mountain,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,"Añejo rum,Tia maria,Vodka,Orange,Lemon,,,,,,,,,,","1 1/2 oz Añejo rum,1/2 oz Tia maria,1/2 oz Vodka,1 oz Orange juice,1 tsp Lemon juice, , , , , , , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",Old-fashioned glass,Alcoholic
Bluebird,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,"Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon,,,,,,,,,","1 1/2 oz Gin,1/2 oz Triple sec,1/2 oz Blue Curacao,2 dashes Bitters,1 Maraschino cherry,1 twist of Lemon peel, , , , , , ","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",Cocktail glass,Alcoholic
Bob Marley,Shot,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,"Midori melon liqueur,Jägermeister,Goldschlager,,,,,,,,,,,,","1/2 oz Midori melon liqueur,1/2 oz Jägermeister,1/2 oz Goldschlager, , , , , , , , , ",Layer in a 2 oz shot glass or pony glass,Shot glass,Alcoholic
Bobby Burns Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,"Sweet Vermouth,Scotch,Benedictine,Lemon,,,,,,,,,,,","1 1/2 oz Sweet Vermouth,1 1/2 oz Scotch,1 1/4 tsp Benedictine,1 twist of Lemon peel, , , , , , , , ",Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Cocktail glass,Alcoholic
Boomerang,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,"Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,","2 oz Gin,1/2 oz Dry Vermouth,2 dashes Bitters,1/2 tsp Maraschino liqueur,1 Maraschino cherry, , , , , , , ","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",Cocktail glass,Alcoholic
Boozy Snickers Milkshake,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,"Vanilla Ice-Cream,Milk,Godiva liqueur,Whipped Cream,caramel sauce,chocolate sauce,Mini-snickers bars,,,,,,,,","3 cups Vanilla Ice-Cream,1 cup Milk,1/2 cup Godiva liqueur,for topping Whipped Cream,4 tablespoons
 caramel sauce,4 tablespoons
 chocolate sauce,15 Mini-snickers bars, , , , , ","Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",Mason jar,Alcoholic
Bora Bora,Cocktail,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,"Pineapple,Passion fruit,Lemon,Grenadine,,,,,,,,,,,","10 cl Pineapple juice,6 cl Passion fruit juice,1 cl Lemon juice,1 cl Grenadine, , , , , , , , ","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",Highball glass,Non alcoholic
Boston Sidecar,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,"Light rum,Brandy,Triple sec,Lime,,,,,,,,,,,","3/4 oz Light rum,3/4 oz Brandy,3/4 oz Triple sec,Juice of 1/2 Lime, , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Boston Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,"Blended whiskey,Lemon,Powdered sugar,Egg,Lemon,Cherry,,,,,,,,,","2 oz Blended whiskey,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 Egg white,1 slice Lemon,1 Cherry, , , , , , ","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Whiskey sour glass,Alcoholic
Bourbon Sling,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,"Sugar,Water,Lemon,Bourbon","1 tsp superfine Sugar,2 tsp Water,1 oz Lemon juice,2 oz Bourbon,1 twist of Lemon peel, , , , , , , ","In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",Highball glass,Alcoholic
Bourbon Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,"Bourbon,Lemon,Sugar,Orange,Maraschino cherry,,,,,,,,,,","2 oz Bourbon,1 oz Lemon juice,1/2 tsp superfine Sugar,1 Orange,1 Maraschino cherry, , , , , , , ","In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",Whiskey sour glass,Alcoholic
Boxcar,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,"Gin,Triple sec,Lemon,Grenadine,Egg,,,,,,,,,,","1 1/2 oz Gin,1 oz Triple sec,1 tsp Lemon juice,1/2 tsp Grenadine,1 Egg white, , , , , , , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Whiskey sour glass,Alcoholic
Brain Fart,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,"Everclear,Vodka,Mountain Dew,Surge,Lemon,Rum,,,,,,,,,","1 fifth Everclear,1 fifth Smirnoff red label Vodka,2 L Mountain Dew,2 L Surge,1 small bottle Lemon juice,1 pint Rum, , , , , , ",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,Punch bowl,Alcoholic
Brainteaser,Shot,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,"Sambuca,Erin Cream,Advocaat,,,,,,,,,,,,","30 ml white Sambuca,30 ml Erin Cream,5 ml Advocaat, , , , , , , , , ","layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.",Shot Glass,Alcoholic
Bramble,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,"Gin,lemon,Sugar syrup,Creme de Mure,,,,,,,,,,,","4 cl Gin,1.5 cl lemon juice,1 cl Sugar syrup,1.5 cl Creme de Mure, , , , , , , , ","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Old-Fashioned glass,Alcoholic
Brandon and Will's Coke Float,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,"Vanilla ice-cream,Coca-Cola,Bourbon,,,,,,,,,,,,","2 scoops Vanilla ice-cream,1 can Coca-Cola,2 oz Bourbon, , , , , , , , , ","Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.",Beer mug,Alcoholic
Brandy Alexander,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,"Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,","1 oz Brandy,1 oz white Creme de Cacao,1 oz Light cream,
 Nutmeg,
 ,
 ,
 ,
 ,
 , , , ",Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Cocktail glass,Alcoholic
Brandy Cobbler,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,"Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,,,,,","1 tsp superfine Sugar,3 oz Club soda,1 Lemon,2 oz Brandy,1 Maraschino cherry,1 Orange, , , , , , ","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",Old-fashioned glass,Alcoholic
Brandy Flip,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,"Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,,,,,","2 oz Brandy,1 whole Egg,1 tsp superfine Sugar,1/2 oz Light cream,1/8 tsp grated Nutmeg, , , , , , , ","In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",Whiskey sour glass,Alcoholic
Brandy Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,"Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,","2 oz Brandy,Juice of 1/2 Lemon,1/2 tsp Powdered sugar,1/2 slice Lemon,1 Cherry, , , , , , , ","Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",Whiskey sour glass,Alcoholic
Brave Bull Shooter,Shot,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,"Tequila,Tabasco sauce,,,,,,,,,,,,,","1/2 oz Tequila,1/2 oz Tabasco sauce, , , , , , , , , , ",Pour Tabasco into bottom of shot glass and fill with tequila.,Shot glass,Alcoholic
Bruce's Puce,Shot,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,"Grenadine,Kahlua,Bailey's irish cream,,,,,,,,,,,,","
 Grenadine,
 Kahlua,
 Bailey's irish cream,
 ,
 ,
 ,
 , , , , , ","In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)",Shot glass,Alcoholic
Bruised Heart,Shot,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,"Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry,,,,,,,,,,,","1/2 oz Vodka,1/2 oz Chambord raspberry liqueur,1/2 oz Peachtree schnapps,1/2 oz Cranberry juice, , , , , , , , ","Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",Shot glass,Alcoholic
Bubble Gum,Shot,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,"Vodka,Banana liqueur,Orange,Peach schnapps,,,,,,,,,,,","43922 Vodka,43922 Banana liqueur,43922 Orange juice,43922 Peach schnapps, , , , , , , , ",Layer in order into a shot glass.,Shot glass,Alcoholic
Buccaneer,Beer,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,"Beer,Bacardi Limon,,,,,,,,,,,,,","1 Corona,1 shot Bacardi Limon, , , , , , , , , , ",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,Beer pilsner,Alcoholic
Bumble Bee #1,Shot,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,"Bailey's irish cream,Kahlua,Sambuca,,,,,,,,,,,,","1/3 oz Bailey's irish cream,1/3 oz Kahlua,1/3 oz Sambuca, , , , , , , , , ","This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",Shot glass,Alcoholic
Butter Baby,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,"Vanilla Ice-Cream,Butterscotch schnapps,Milk,Vodka,,,,,,,,,,,","2 scoops Vanilla Ice-Cream,1 part Butterscotch schnapps,full glass Milk,2 parts Vodka,
 ,
 ,
 , , , , , ",Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,Beer mug,Alcoholic
Cafe Savoy,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,"Coffee,Milk,Triple sec,Brandy,,,,,,,,,,,","
 Coffee,1/2 oz Milk,1/2 oz Triple sec, Brandy, , , , , , , , ","Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Coffee mug,Alcoholic
Caipirinha,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,"Sugar,Lime,Cachaca,,,,,,,,,,,,","2 tsp Sugar,1 Lime,2 1/2 oz Cachaca, , , , , , , , , ",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Old-fashioned glass,Alcoholic
Caipirissima,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,"Lime,Sugar,White rum,Ice,,,,,,,,,,,","2 Lime,2 tblsp Sugar,2-3 oz White rum,crushed Ice, , , , , , , , ",Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,Collins Glass,Alcoholic
California Lemonade,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,"Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,,,,,,","2 oz Blended whiskey,Juice of 1 Lemon,Juice of 1 Lime,1 tblsp Powdered sugar,1/4 tsp Grenadine,
 Carbonated water,
 ,
 ,
 ,
 ,
 , ",Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,Collins glass,Alcoholic
California Root Beer,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,"Kahlua,Galliano,Soda water,,,,,,,,,,,,","3/4 oz Kahlua,3/4 oz Galliano,Fill with Soda water, , , , , , , , , ",Put Kahlua and Galliano in highball glass fill with soda,Highball glass,Alcoholic
Campari Beer,Beer,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,"Lager,Campari,,,,,,,,,,,,,","1 bottle Lager,1 1/2 cl Campari, , , , , , , , , , ",Use a 15 oz glass. Add Campari first. Fill with beer.,Beer mug,Alcoholic
Caribbean Boilermaker,Beer,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,"Beer,Light rum,,,,,,,,,,,,,","1 bottle Corona,1 shot Light rum, , , , , , , , , , ",Pour the Corona into an 18oz beer glass pour the rum into the beer.,Beer pilsner,Alcoholic
Caribbean Orange Liqueur,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,"Orange,Vodka,Sugar,,,,,,,,,,,,","3 large Orange,3 cups Vodka,1 1/3 cup superfine Sugar, , , , , , , , , ","Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",Collins Glass,Alcoholic
Casino,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,"Gin,Maraschino liqueur,Lemon,Orange bitters,Cherry,,,,,,,,,,","2 oz Gin,1/4 tsp Maraschino liqueur,1/4 tsp Lemon juice,2 dashes Orange bitters,1 Cherry, , , , , , , ",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,Cocktail glass,Alcoholic
Casino Royale,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,"Gin,Lemon,Maraschino liqueur,Orange bitters,Egg,,,,,,,,,,","2 oz Gin,1/2 oz Lemon juice,1 tsp Maraschino liqueur,1 dash Orange bitters,1 Egg yolk, , , , , , , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Whiskey sour glass,Alcoholic
Castillian Hot Chocolate,Cocoa,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,"Cocoa powder,Sugar,Cornstarch,Water,Milk,,,,,,,,,,","1/2 cup Cocoa powder,1 cup Sugar,7 tsp Cornstarch,1/2 cup Water,1 qt Milk, , , , , , , ","Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",Coffee mug,Non alcoholic
Champagne Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,"Champagne,Sugar,Bitters,Lemon,Cognac,,,,,,,,,,","Chilled Champagne,1 piece Sugar,2 dashes Bitters,1 twist of Lemon peel,1 dash Cognac, , , , , , , ",Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Champagne flute,Alcoholic
Cherry Electric Lemonade,Cocktail,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,"Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,","1 oz Gin,1 oz Tequila,1 oz Vodka,1 oz White rum,1 oz Triple Sec,1 oz Cherry Grenadine,1 oz Sweet and sour,3 oz Club soda, , , , ",Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Pint glass,
Cherry Rum,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,"Light rum,Cherry brandy,Light cream,,,,,,,,,,,,","1 1/4 oz Light rum,1 1/2 tsp Cherry brandy,1 tblsp Light cream, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Chicago Fizz,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,"Light rum,Port,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,,","1 oz Light rum,1 oz Port,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 Egg white,
 Carbonated water,
 ,
 ,
 ,
 ,
 , ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Highball glass,Alcoholic
Chocolate Beverage,Cocoa,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,"Milk,Chocolate,Cinnamon,Egg,,,,,,,,,,,","6 cups Milk,3 oz Mexican Chocolate,1 tsp powdered Cinnamon,3 Egg, , , , , , , , ","Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",Coffee mug,Non alcoholic
Chocolate Black Russian,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,"Kahlua,Vodka,Chocolate ice-cream,,,,,,,,,,,,","1 oz Kahlua,1/2 oz Vodka,5 oz Chocolate ice-cream, , , , , , , , , ",Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,Champagne flute,Alcoholic
Chocolate Drink,Cocoa,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,"Chocolate,Milk,Water,,,,,,,,,,,,","125 gr Chocolate,3/4 L Milk, Water, , , , , , , , , ","Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",Coffee mug,Non alcoholic
Chocolate Milk,Shot,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,"Chocolate liqueur,Milk,Amaretto,,,,,,,,,,,,","1/2 shot Chocolate liqueur,1/2 shot Milk,1 dash Amaretto, , , , , , , , , ","Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",Shot Glass,Alcoholic
Chocolate Monkey,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,"Banana liqueur,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,Whipped cream,Cherry,Banana,,,,,,,","1 shot Banana liqueur,2 shots Creme de Cacao,2 scoops Chocolate ice-cream,1 oz Chocolate syrup,4 oz Chocolate milk,1 Whipped cream,1 Cherry,1 piece Banana, , , , ","blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.",Parfait glass,Optional alcohol
Citrus Coke,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,"Bacardi Limon,Coca-Cola,,,,,,,,,,,,,","1 part Bacardi Limon,2 parts Coca-Cola, , , , , , , , , , ",Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,Highball Glass,Alcoholic
City Slicker,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,"Brandy,Triple sec,Lemon,,,,,,,,,,,,","2 oz Brandy,1/2 oz Triple sec,1 tblsp Lemon juice, , , , , , , , , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Cocktail glass,Alcoholic
Classic Old-Fashioned,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,"Bitters,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,,,,,,","3 dashes Bitters,1 tsp Water,1 Sugar,3 oz Bourbon,1 Orange,1 Maraschino cherry, , , , , , ","In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",Old-fashioned glass,Alcoholic
Clove Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,"Sweet Vermouth,Sloe gin,Wine,,,,,,,,,,,,","1 oz Sweet Vermouth,1/2 oz Sloe gin,1/2 oz Muscatel Wine, , , , , , , , , ","Stir all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Clover Club,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,"Gin,Grenadine,Lemon,Egg,,,,,,,,,,,","1 1/2 oz Gin,2 tsp Grenadine,Juice of 1/2 Lemon,1 Egg white, , , , , , , , ","Dry shake ingredients to emulsify, add ice, shake and served straight up.",Cocktail glass,Alcoholic
Coffee Liqueur,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,"Coffee,Vanilla extract,Sugar,Vodka,Water,,,,,,,,,,","10 tblsp instant Coffee,4 tblsp Vanilla extract,2 1/2 cups Sugar,1 qt Vodka,2 1/2 cups Water, , , , , , , ","Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",Collins Glass,Alcoholic
Coffee-Vodka,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,"Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,,,,,,","2 cups Water,2 cups white Sugar,1/2 cup instant Coffee,43862 Vanilla,1 1/2 cup Vodka,
 Caramel coloring,
 ,
 ,
 ,
 ,
 , ","Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",Collins Glass,Alcoholic
Coke and Drops,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,"Coca-Cola,Lemon,,,,,,,,,,,,,","1 dl Coca-Cola,7 drops Lemon juice, , , , , , , , , , ","Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",Cocktail glass,Non alcoholic
